,day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,imp_vol,delta
1,1,0,COCONUT_COUPON,637.0,39,,0,,0,638.0,39,,0,,0,637.5,0.0,0.1599679530944025,0.5318750000001947
3,1,100,COCONUT_COUPON,637.0,33,,0,,0,638.0,33,,0,,0,637.5,0.0,0.16003485326477176,0.5317640470513932
5,1,200,COCONUT_COUPON,637.0,42,,0,,0,638.0,42,,0,,0,637.5,0.0,0.1601685854116317,0.5315424190948704
6,1,300,COCONUT_COUPON,638.0,30,,0,,0,639.0,30,,0,,0,638.5,0.0,0.16028639157935493,0.5318142444876097
9,1,400,COCONUT_COUPON,637.0,33,,0,,0,638.0,33,,0,,0,637.5,0.0,0.16016864948004447,0.5315424190950493
11,1,500,COCONUT_COUPON,637.0,37,,0,,0,638.0,37,,0,,0,637.5,0.0,0.16043593745557164,0.5311002712413128
13,1,600,COCONUT_COUPON,636.0,37,,0,,0,637.0,37,,0,,0,636.5,0.0,0.1601176664085101,0.5311594861750747
14,1,700,COCONUT_COUPON,639.0,42,,0,,0,640.0,42,,0,,0,639.5,0.0,0.16073857130247166,0.5315333173301011
17,1,800,COCONUT_COUPON,636.0,49,,0,,0,637.0,42,,0,,0,636.5,0.0,0.160117730455095,0.5311594861749376
19,1,900,COCONUT_COUPON,634.0,16,,0,,0,635.0,33,,0,,0,634.5,0.0,0.15968153011661718,0.5309461179829278
21,1,1000,COCONUT_COUPON,636.0,5,635.0,46,,0,637.0,46,,0,,0,636.5,0.0,0.15978366920911186,0.5317138490022396
22,1,1100,COCONUT_COUPON,635.0,38,,0,,0,636.0,38,,0,,0,635.5,0.0,0.1597327218734255,0.5313301605295659
25,1,1200,COCONUT_COUPON,635.0,45,,0,,0,636.0,34,,0,,0,635.5,0.0,0.15979955975799076,0.53121918321126
27,1,1300,COCONUT_COUPON,634.0,51,,0,,0,635.0,41,,0,,0,634.5,0.0,0.15934766337507372,0.53150199568815
29,1,1400,COCONUT_COUPON,634.0,44,,0,,0,635.0,44,,0,,0,634.5,0.0,0.15928085996397837,0.5316134510503752
30,1,1500,COCONUT_COUPON,634.0,49,,0,,0,635.0,49,,0,,0,634.5,0.0,0.15901342883405672,0.5320602097168946
33,1,1600,COCONUT_COUPON,635.0,34,,0,,0,636.0,17,637.0,17,,0,635.5,0.0,0.15919799712183638,0.5322213342080332
35,1,1700,COCONUT_COUPON,635.0,33,,0,,0,636.0,33,,0,,0,635.5,0.0,0.15926493214402523,0.5321096100538543
37,1,1800,COCONUT_COUPON,635.0,40,,0,,0,637.0,40,,0,,0,636.0,0.0,0.15932377818622664,0.5322459350651872
38,1,1900,COCONUT_COUPON,635.0,33,,0,,0,636.0,49,,0,,0,635.5,0.0,0.15933188685130756,0.5319979797244984
41,1,2000,COCONUT_COUPON,637.0,33,,0,,0,638.0,47,,0,,0,637.5,0.0,0.15970099800468374,0.5323197413609402
