,day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,log_returns,t_exp,vol_est
0,3,0,COCONUT,9990.0,148,9989.0,61,,0,9992.0,209,,0,,0,9991.0,0.0,,0.992,
2,3,100,COCONUT,9989.0,171,,0,,0,9991.0,114,9992.0,57,,0,9990.0,0.0,-0.00010009509041934792,0.9919996,
4,3,200,COCONUT,9990.0,135,9989.0,57,,0,9991.0,135,9992.0,57,,0,9990.5,0.0,5.004879758802321e-05,0.9919992,
7,3,300,COCONUT,9991.0,138,9990.0,43,,0,9992.0,138,9993.0,43,,0,9991.5,0.0,0.00010009008115652203,0.9919988,
8,3,400,COCONUT,9989.0,128,9988.0,44,,0,9991.0,172,,0,,0,9990.0,0.0,-0.00015013887874463364,0.9919984,
10,3,500,COCONUT,9988.0,143,9987.0,63,,0,9989.0,143,9990.0,63,,0,9988.5,0.0,-0.00015016142381248953,0.991998,
12,3,600,COCONUT,9986.0,133,9985.0,59,,0,9987.0,133,9988.0,59,,0,9986.5,0.0,-0.00020025031356029672,0.9919976,
15,3,700,COCONUT,9986.0,128,9985.0,66,,0,9987.0,128,9988.0,66,,0,9986.5,0.0,0.0,0.9919972,
16,3,800,COCONUT,9986.0,5,9985.0,176,,0,9987.0,129,9988.0,47,,0,9986.5,0.0,0.0,0.9919968,
18,3,900,COCONUT,9985.0,125,9984.0,54,,0,9986.0,125,9987.0,54,,0,9985.5,0.0,-0.00010014019635850698,0.9919964,
20,3,1000,COCONUT,9985.0,194,,0,,0,9987.0,126,9988.0,68,,0,9986.0,0.0,5.007135168662066e-05,0.991996,
23,3,1100,COCONUT,9986.0,144,9985.0,65,,0,9987.0,144,9988.0,65,,0,9986.5,0.0,5.006884467187711e-05,0.9919956,
24,3,1200,COCONUT,9986.0,123,9985.0,68,,0,9988.0,191,,0,,0,9987.0,0.0,5.0066337908247144e-05,0.9919952,
26,3,1300,COCONUT,9984.0,125,9983.0,77,,0,9985.0,125,9986.0,77,,0,9984.5,0.0,-0.00025035675968831727,0.9919948000000001,
28,3,1400,COCONUT,9983.0,140,9982.0,55,,0,9984.0,140,9985.0,55,,0,9983.5,0.0,-0.00010016025649403761,0.9919944,
31,3,1500,COCONUT,9982.0,208,,0,,0,9984.0,134,9985.0,74,,0,9983.0,0.0,-5.008389052708661e-05,0.991994,
32,3,1600,COCONUT,9983.0,131,9982.0,44,,0,9984.0,131,9985.0,44,,0,9983.5,0.0,5.008389052704219e-05,0.9919936,
34,3,1700,COCONUT,9983.0,209,,0,,0,9985.0,133,9986.0,78,,0,9984.0,0.0,5.0081382256508684e-05,0.9919932,
36,3,1800,COCONUT,9982.0,197,,0,,0,9984.0,120,9985.0,77,,0,9983.0,0.0,-0.00010016527278368789,0.9919928,
39,3,1900,COCONUT,9982.0,110,9981.0,59,,0,9983.0,119,9984.0,59,,0,9982.5,0.0,-5.008639904876957e-05,0.9919924,
40,3,2000,COCONUT,9982.0,121,9981.0,60,,0,9984.0,181,,0,,0,9983.0,0.0,5.008639904891131e-05,0.991992,
42,3,2100,COCONUT,9983.0,143,9982.0,40,,0,9985.0,183,,0,,0,9984.0,0.0,0.00010016527278361747,0.9919916,
44,3,2200,COCONUT,9984.0,176,,0,,0,9986.0,110,9987.0,66,,0,9985.0,0.0,0.00010015524070678441,0.9919912000000001,
47,3,2300,COCONUT,9984.0,170,,0,,0,9986.0,102,9987.0,68,,0,9985.0,0.0,0.0,0.9919908000000001,
48,3,2400,COCONUT,9985.0,124,9984.0,63,,0,9986.0,124,9987.0,63,,0,9985.5,0.0,5.0073858952477795e-05,0.9919904,
50,3,2500,COCONUT,9983.0,101,9982.0,43,,0,9985.0,144,,0,,0,9984.0,0.0,-0.00015022909965904137,0.99199,
52,3,2600,COCONUT,9985.0,98,9984.0,52,,0,9986.0,103,9987.0,52,,0,9985.5,0.0,0.00015022909965912404,0.9919896,
55,3,2700,COCONUT,9984.0,149,9983.0,73,,0,9986.0,222,,0,,0,9985.0,0.0,-5.00738589524231e-05,0.9919892,
56,3,2800,COCONUT,9986.0,137,9985.0,73,,0,9988.0,210,,0,,0,9987.0,0.0,0.00020028039321912404,0.9919888,
58,3,2900,COCONUT,9987.0,130,9986.0,42,,0,9988.0,130,9989.0,42,,0,9987.5,0.0,5.0063831395508745e-05,0.9919884,
60,3,3000,COCONUT,9987.0,100,9986.0,64,,0,9988.0,100,9989.0,64,,0,9987.5,0.0,0.0,0.9919880000000001,
63,3,3100,COCONUT,9986.0,210,,0,,0,9988.0,142,9989.0,68,,0,9987.0,0.0,-5.0063831395514376e-05,0.9919876000000001,
64,3,3200,COCONUT,9987.0,105,9986.0,50,,0,9988.0,105,9989.0,50,,0,9987.5,0.0,5.0063831395508745e-05,0.9919872000000001,
66,3,3300,COCONUT,9987.0,108,9986.0,75,,0,9988.0,108,9989.0,75,,0,9987.5,0.0,0.0,0.9919868000000001,
68,3,3400,COCONUT,9987.0,108,9986.0,54,,0,9988.0,108,9989.0,54,,0,9987.5,0.0,0.0,0.9919864,
71,3,3500,COCONUT,9985.0,193,,0,,0,9987.0,129,9988.0,64,,0,9986.0,0.0,-0.00015019901397552893,0.991986,
73,3,3600,COCONUT,9986.0,124,9985.0,44,,0,9987.0,124,9988.0,44,,0,9986.5,0.0,5.006884467187711e-05,0.9919856,
74,3,3700,COCONUT,9985.0,175,,0,,0,9987.0,110,9988.0,65,,0,9986.0,0.0,-5.0068844671832664e-05,0.9919852,
77,3,3800,COCONUT,9984.0,189,,0,,0,9986.0,147,9987.0,42,,0,9985.0,0.0,-0.00010014521063901792,0.9919848,
79,3,3900,COCONUT,9984.0,138,9983.0,59,,0,9985.0,138,9986.0,59,,0,9984.5,0.0,-5.007636646927873e-05,0.9919844000000001,
81,3,4000,COCONUT,9983.0,122,9982.0,46,,0,9984.0,122,9985.0,46,,0,9983.5,0.0,-0.00010016025649403761,0.9919840000000001,
82,3,4100,COCONUT,9983.0,182,,0,,0,9985.0,134,9986.0,48,,0,9984.0,0.0,5.0081382256508684e-05,0.9919836000000001,
85,3,4200,COCONUT,9983.0,129,9982.0,59,,0,9984.0,129,9985.0,59,,0,9983.5,0.0,-5.0081382256666e-05,0.9919832000000001,
87,3,4300,COCONUT,9983.0,132,9982.0,56,,0,9985.0,188,,0,,0,9984.0,0.0,5.0081382256508684e-05,0.9919827999999999,
89,3,4400,COCONUT,9983.0,190,,0,,0,9985.0,149,9986.0,41,,0,9984.0,0.0,0.0,0.9919823999999999,
90,3,4500,COCONUT,9982.0,207,,0,,0,9984.0,139,9985.0,68,,0,9983.0,0.0,-0.00010016527278368789,0.9919819999999999,
93,3,4600,COCONUT,9981.0,138,9980.0,75,,0,9982.0,138,9983.0,75,,0,9981.5,0.0,-0.00015026672371683256,0.9919815999999999,
95,3,4700,COCONUT,9981.0,195,,0,,0,9983.0,141,9984.0,54,,0,9982.0,0.0,5.0091416846212304e-05,0.9919811999999999,
97,3,4800,COCONUT,9979.0,111,9978.0,47,,0,9980.0,111,9981.0,47,,0,9979.5,0.0,-0.0002504821795026029,0.9919808,
98,3,4900,COCONUT,9978.0,216,,0,,0,9980.0,140,9981.0,76,,0,9979.0,0.0,-5.010396573933797e-05,0.9919804,
101,3,5000,COCONUT,9980.0,123,9979.0,63,,0,9981.0,123,9982.0,63,,0,9980.5,0.0,0.00015030436662487646,0.99198,
103,3,5100,COCONUT,9980.0,114,9979.0,63,,0,9982.0,177,,0,,0,9981.0,0.0,5.009643564907776e-05,0.9919796,
