,day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,log_returns,t_exp,vol_est
0,2,0,COCONUT,10135.0,150,10134.0,64,,0,10136.0,150,10137.0,64,,0,10135.5,0.0,,0.996,
3,2,100,COCONUT,10134.0,150,,0,,0,10136.0,106,10137.0,44,,0,10135.0,0.0,-4.933277423857769e-05,0.9959996,
4,2,200,COCONUT,10135.0,136,10134.0,55,,0,10136.0,136,10137.0,55,,0,10135.5,0.0,4.933277423851994e-05,0.9959992,
6,2,300,COCONUT,10134.0,168,,0,,0,10136.0,107,10137.0,61,,0,10135.0,0.0,-4.933277423857769e-05,0.9959988,
8,2,400,COCONUT,10133.0,127,10132.0,54,,0,10134.0,127,10135.0,54,,0,10133.5,0.0,-0.00014801292673244354,0.9959984,
11,2,500,COCONUT,10133.0,196,,0,,0,10135.0,120,10136.0,76,,0,10134.0,0.0,4.934007648720619e-05,0.995998,
12,2,600,COCONUT,10133.0,142,10132.0,57,,0,10135.0,199,,0,,0,10134.0,0.0,0.0,0.9959976,
14,2,700,COCONUT,10132.0,161,,0,,0,10134.0,116,10135.0,45,,0,10133.0,0.0,-9.868258753757351e-05,0.9959972,
16,2,800,COCONUT,10133.0,121,10132.0,70,,0,10135.0,191,,0,,0,10134.0,0.0,9.86825875375753e-05,0.9959968,
19,2,900,COCONUT,10133.0,130,10132.0,45,,0,10134.0,130,10135.0,45,,0,10133.5,0.0,-4.934007648715186e-05,0.9959964,
20,2,1000,COCONUT,10132.0,138,10131.0,63,,0,10133.0,138,10134.0,63,,0,10132.5,0.0,-9.868745690437752e-05,0.995996,
22,2,1100,COCONUT,10133.0,112,10132.0,50,,0,10134.0,112,10135.0,50,,0,10133.5,0.0,9.868745690443223e-05,0.9959956,
24,2,1200,COCONUT,10133.0,115,10132.0,71,,0,10135.0,186,,0,,0,10134.0,0.0,4.934007648720619e-05,0.9959952,
27,2,1300,COCONUT,10132.0,119,10131.0,67,,0,10133.0,119,10134.0,67,,0,10132.5,0.0,-0.0001480275333914207,0.9959948000000001,
28,2,1400,COCONUT,10131.0,139,10130.0,43,,0,10133.0,182,,0,,0,10132.0,0.0,-4.934738089782333e-05,0.9959944000000001,
30,2,1500,COCONUT,10132.0,184,,0,,0,10134.0,111,10135.0,73,,0,10133.0,0.0,9.869232675172255e-05,0.995994,
32,2,1600,COCONUT,10132.0,105,10131.0,66,,0,10133.0,105,10134.0,66,,0,10132.5,0.0,-4.934494585395912e-05,0.9959936,
35,2,1700,COCONUT,10130.0,121,10129.0,42,,0,10132.0,163,,0,,0,10131.0,0.0,-0.00014804944878626307,0.9959932,
36,2,1800,COCONUT,10129.0,163,,0,,0,10131.0,101,10132.0,62,,0,10130.0,0.0,-9.871181094836496e-05,0.9959928,
