,day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,imp_vol,delta
1,2,0,COCONUT_COUPON,682.0,38,,0,,0,683.0,38,,0,,0,682.5,0.0,0.15292077859435124,0.5653300034113752
2,2,100,COCONUT_COUPON,681.0,19,680.0,20,,0,682.0,39,,0,,0,681.5,0.0,0.15274061911631376,0.5652081837258763
5,2,200,COCONUT_COUPON,681.0,35,,0,,0,682.0,35,,0,,0,681.5,0.0,0.1526696561078138,0.5653377789212949
7,2,300,COCONUT_COUPON,682.0,34,,0,,0,683.0,34,,0,,0,682.5,0.0,0.15299186322405986,0.5652006700017195
9,2,400,COCONUT_COUPON,682.0,46,,0,,0,683.0,46,,0,,0,682.5,0.0,0.15320477225115717,0.5648133898394945
10,2,500,COCONUT_COUPON,684.0,34,,0,,0,685.0,34,,0,,0,684.5,0.0,0.15363621917252254,0.5649289330454501
13,2,600,COCONUT_COUPON,683.0,49,,0,,0,685.0,37,,0,,0,684.0,0.0,0.15351066048675172,0.5649322218485565
15,2,700,COCONUT_COUPON,682.0,30,,0,,0,684.0,30,,0,,0,683.0,0.0,0.15340138008908508,0.564681368892549
17,2,800,COCONUT_COUPON,684.0,39,,0,,0,685.0,39,,0,,0,684.5,0.0,0.15363631172265713,0.5649289330455041
18,2,900,COCONUT_COUPON,683.0,38,,0,,0,684.0,38,,0,,0,683.5,0.0,0.15345610513281774,0.5648068424077904
21,2,1000,COCONUT_COUPON,682.0,50,,0,,0,683.0,20,684.0,30,,0,682.5,0.0,0.1533467934267211,0.5645558011760586
23,2,1100,COCONUT_COUPON,682.0,48,,0,,0,683.0,48,,0,,0,682.5,0.0,0.15320498760120496,0.5648133898394635
25,2,1200,COCONUT_COUPON,681.0,33,,0,,0,682.0,33,,0,,0,681.5,0.0,0.15288289436091462,0.5649493548767174
26,2,1300,COCONUT_COUPON,681.0,27,,0,,0,682.0,27,,0,,0,681.5,0.0,0.1530957078547362,0.5645620125232467
29,2,1400,COCONUT_COUPON,682.0,41,,0,,0,683.0,41,,0,,0,682.5,0.0,0.15341781029910836,0.5644271856968608
31,2,1500,COCONUT_COUPON,683.0,44,,0,,0,684.0,44,,0,,0,683.5,0.0,0.15352721562126678,0.5646782475049618
33,2,1600,COCONUT_COUPON,682.0,42,,0,,0,683.0,42,,0,,0,682.5,0.0,0.15334697818502047,0.5645558011760087
34,2,1700,COCONUT_COUPON,682.0,58,,0,,0,683.0,47,,0,,0,682.5,0.0,0.153559641026577,0.5641703114805318
37,2,1800,COCONUT_COUPON,682.0,32,,0,,0,684.0,32,,0,,0,683.0,0.0,0.15382693156323993,0.5639115182144997
39,2,1900,COCONUT_COUPON,680.0,43,,0,,0,681.0,43,,0,,0,680.5,0.0,0.1534114188355633,0.5635386732417756
41,2,2000,COCONUT_COUPON,680.0,33,,0,,0,681.0,28,,0,,0,680.5,0.0,0.15341144964195244,0.5635386732417644
42,2,2100,COCONUT_COUPON,680.0,31,,0,,0,682.0,31,,0,,0,681.0,0.0,0.15360783096124322,0.5634084356928781
45,2,2200,COCONUT_COUPON,679.0,33,,0,,0,681.0,33,,0,,0,680.0,0.0,0.15328592486940304,0.5635409018448267
47,2,2300,COCONUT_COUPON,679.0,57,,0,,0,681.0,45,,0,,0,680.0,0.0,0.15328595565032632,0.5635409018448206
49,2,2400,COCONUT_COUPON,678.0,45,,0,,0,679.0,45,,0,,0,678.5,0.0,0.1528384440446756,0.5636766697178426
50,2,2500,COCONUT_COUPON,678.0,29,,0,,0,679.0,29,,0,,0,678.5,0.0,0.15298002316601775,0.5634191554108168
53,2,2600,COCONUT_COUPON,678.0,36,,0,,0,679.0,36,,0,,0,678.5,0.0,0.15290928784394556,0.5635478528868936
55,2,2700,COCONUT_COUPON,679.0,41,,0,,0,680.0,41,,0,,0,679.5,0.0,0.15323125750215763,0.5634147355965029
57,2,2800,COCONUT_COUPON,678.0,34,,0,,0,680.0,34,,0,,0,679.0,0.0,0.15331790111916038,0.5630319320084755
58,2,2900,COCONUT_COUPON,679.0,43,,0,,0,680.0,43,,0,,0,679.5,0.0,0.15351421772247853,0.5629021650581696
61,2,3000,COCONUT_COUPON,678.0,28,,0,,0,679.0,28,,0,,0,678.5,0.0,0.15312165993110527,0.5631621177514506
63,2,3100,COCONUT_COUPON,678.0,33,,0,,0,679.0,33,,0,,0,678.5,0.0,0.15326310868190404,0.5629055552006251
65,2,3200,COCONUT_COUPON,677.0,42,,0,,0,678.0,42,,0,,0,677.5,0.0,0.15308265352364894,0.5627807577300284
66,2,3300,COCONUT_COUPON,678.0,42,,0,,0,679.0,42,,0,,0,678.5,0.0,0.1534751755427945,0.5625215988542916
69,2,3400,COCONUT_COUPON,678.0,42,,0,,0,679.0,42,,0,,0,678.5,0.0,0.15340455411486786,0.562649466226613
71,2,3500,COCONUT_COUPON,677.0,24,,0,,0,678.0,44,,0,,0,677.5,0.0,0.15350651643442276,0.5620130771906471
72,2,3600,COCONUT_COUPON,677.0,38,,0,,0,678.0,38,,0,,0,677.5,0.0,0.15343595920587605,0.5621407291171623
74,2,3700,COCONUT_COUPON,676.0,32,,0,,0,677.0,32,,0,,0,676.5,0.0,0.15346707781347244,0.5616320004822893
76,2,3800,COCONUT_COUPON,675.0,37,,0,,0,676.0,37,,0,,0,675.5,0.0,0.15335697276645807,0.561378075065268
79,2,3900,COCONUT_COUPON,676.0,36,,0,,0,677.0,36,,0,,0,676.5,0.0,0.1535376634437054,0.5615045634576451
80,2,4000,COCONUT_COUPON,677.0,55,,0,,0,678.0,40,,0,,0,677.5,0.0,0.15350667055731784,0.5620130771906657
